Publisher,Dataset Count
มหาวิทยาลัยสุโขทัยธรรมาธิราช,3438
Astromat,3352
European Commission JRC,3345
George Mason University Dataverse,3230
International Institute of Tropical Agriculture (IITA),3202
"Colchester, Essex: UK Data Archive",3148
SRDA - Survey Research Data Archive Taiwan,3094
ChecklistBank,3056
Earth System Grid Federation,3008
"Mahidol University,",2975
RepOD,2959
Danish Data Archive,2945
Hugging Face,2941
(:unav),2928
Smithsonian Tropical Research Institute,2917
University of Pretoria,2904
Dartmouth Dataverse,2895
"Université de Genève, Yareta",2889
"มหาวิทยาลัยสุโขทัยธรรมาธิราช,",2778
Biological and Chemical Oceanography Data Management Office (BCO-DMO),2731
Loughborough University,2691
The British Museum,2646
GigaScience Database,2637
"สถาบันบัณฑิตพัฒนบริหารศาสตร์,",2621
"World Bank, Development Data Group",2613
Curtin University,2607
TRR170-DB,2566
DR-NTU (Data),2547
Research Data Centres of the Statistical Offices of the Federation and the Federal States,2485
OBIS-SEAMAP,2462
Australian Antarctic Data Centre,2441
"UCD Library, University College Dublin",2414
Materials Cloud,2371
"Department of Forestry, Fisheries and the Environment",2362
Repositori de dades de recerca,2353
The University of Auckland,2347
osnaData,2340
University of Oxford,2288
4TU.Centre for Research Data,2255
AERIS,2229
ACTRIS Cloud remote sensing data centre unit (CLU),2228
Sikt - Norwegian Agency for Shared Services in Education and Research,2227
University of Colorado Boulder,2211
NASA Langley Atmospheric Science Data Center Distributed Active Archive Center,2194
Optica Publishing Group,2193
UNC Dataverse,2193
"มหาวิทยาลัยธรรมศาสตร์,",2190
Finnish Social Science Data Archive (FSD),2185
World Data Center for Climate (WDCC) at DKRZ,2168
GSA Journals,2161
NASA Goddard Earth Sciences Data and Information Services Center,2111
Uppsala University,2095
Millennium Challenge Corporation,2059
"UAR PatriNat (OFB-MNHN-CNRS-IRD), Paris",2047
Shom,2037
Entrepôt de production,2034
Repositorio de datos de investigación de la Universidad de Chile,2033
École des Hautes Études en Sciences Sociales; Institut  interdisciplinaire d'anthropologie du contemporain (Paris); Laboratoire d'anthropologie et d'histoire de l'institution de la culture (Paris),2029
สถาบันบัณฑิตพัฒนบริหารศาสตร์,2028
"Atmospheric Radiation Measurement (ARM) Archive, Oak Ridge National Laboratory (ORNL), Oak Ridge, TN (US); ARM Data Center, Oak Ridge National Laboratory (ORNL), Oak Ridge, TN (United States)",2024
"มหาวิทยาลัยนเรศวร,",2021
Purdue University Research Repository,1995
Designsafe-CI,1964
"สถาบันเทคโนโลยีพระจอมเกล้าพระนครเหนือ,",1953
Technical University of Denmark,1946
Monash University,1939
ACSS Dataverse,1938
Cornell Center for Social Sciences,1885
University College London,1831
Newcastle University,1811
SEANOE,1809
The University of Sheffield,1783
"มหาวิทยาลัยแม่โจ้,",1762
"Industrial Application and Partnership Division, SPring-8",1757
Universitäts- und Landesbibliothek Sachsen-Anhalt,1736
มหาวิทยาลัยมหิดล,1731
World Data Center for Climate (WDCC),1716
ADA Dataverse,1715
FLOSSmole,1711
CORA.Repositori de Dades de Recerca,1709
NASA Space Physics Data Facility,1707
University of St Andrews,1697
University of Amsterdam / Amsterdam University of Applied Sciences,1693
Rodare,1693
The Open University,1678
e-cienciaDatos,1665
Mahidol University,1638
International Federation of Digital Seismograph Networks,1636
Progedo-Adisp,1636
GFZ Data Services,1631
Ag Data Commons,1618
NASA Physical Oceanography Distributed Active Archive Center,1602
The University of British Columbia,1592
BathSPAdata,1592
University of Melbourne,1589
University of Sussex,1581
South African Environmental Observation Network (SAEON),1581
University of Glasgow,1560
World Agroforestry Centre - Research Data Repository,1544
University of Strathclyde,1524
NASA Planetary Data System,1513
SenNet Consortium,1511
École des Hautes Études en Sciences Sociales; École des hautes études en sciences sociales (Paris); Centre d'études en Sciences Sociales du Religieux; Centre d'anthropologie religieuse européenne (Paris),1511
Custom Market Insights,1506
มหาวิทยาลัยเทคโนโลยีสุรนารี,1502
Synapse,1488
The University of Adelaide,1476
Fundação Oswaldo Cruz (FIOCRUZ),1461
IMPACT,1460
ODISSEI,1458
INFN Open Access Repository,1448
University of Gothenburg,1446
London School of Hygiene & Tropical Medicine,1440
FIZ Karlsruhe – Leibniz Institute for Information Infrastructure,1436
The Smithsonian Institution,1433
DANS/KNAW,1422
Elettra Sincrotrone Trieste,1421
University of Manchester,1415
University of Bristol,1412
Bundesamt für Eich- und Vermessungswesen,1396
Ordnance Survey (Ireland),1369
National Institute of Standards and Technology,1339
ImmPort,1336
NASA Ocean Biology Distributed Active Archive Center,1333
NASA National Snow and Ice Data Center Distributed Active Archive Center,1328
FaceBase (www.facebase.org),1327
FIU Research Data Portal,1321
Redivis,1320
"มหาวิทยาลัยบูรพา,",1317
ISEC PRESS,1316
มหาวิทยาลัยเชียงใหม่,1292
ReSpecTh,1290
Språkbanken Text,1287
World Agroforestry - Research Data Repository,1269
European X-Ray Free-Electron Laser Facility GmbH,1268
National Institute of Development Administration,1248
Bureau of Transportation Statistics,1243
Edmond,1239
University of Leeds,1237
NERC Environmental Information Data Centre,1226
Movebank Data Repository,1211
GEO-Tag der Artenvielfalt,1193
"Environmental Research Institute (ERI), The University of Waikato",1193
Rangsit University,1192
OpenProceedings.org,1164
Deutsches Historisches Institut Paris,1163
University of Notre Dame,1163
"University Libraries, Virginia Tech",1158
มหาวิทยาลัยศิลปากร,1148
Comisión nacional para el conocimiento y uso de la biodiversidad,1146
University of Cape Town,1144
Jülich DATA,1144
CNES,1140
มหาวิทยาลัยขอนแก่น,1135
OSF,1122
ISAE-SUPAERO Dataverse,1109
xxx,1096
NSD – Norwegian Centre for Research Data,1073
Cape Peninsula University of Technology,1067
Inter-University Consortium for Political and Social Research,1057
Norwegian Social Science Data Services,1056
MGnify,1048
Marine Geoscience Data System (MGDS),1047
Data Repository for the University of Minnesota (DRUM),1045
Japan Aerospace Exploration Agency (JAXA),1034
EBRAINS,1032
INTERVALS,1024
DANS Data Station Life Sciences,1013
Network for Earthquake Engineering Simulation (NEES),1012
NASA Land Processes Distributed Active Archive Center,1003
Scratchpads,1003
RDA UNR,998
Linguistic Data Consortium,984
中国科学院兰州化学物理研究所所级中心,981
สำนักงานพัฒนาวิทยาศาสตร์และเทคโนโลยีแห่งชาติ,969
TalkBank,965
Brain Image Library,961
Open Research Knowledge Graph,941
ISEC Press,938
U.S. Antarctic Program (USAP) Data Center,935
มหาวิทยาลัยรังสิต,934
CIRAD Dataverse,928
:unav,916
Karlsruhe Institute of Technology,912
The University of Melbourne,894
ASHA journals,893
Arca Dados,886
Sapienza,883
SBGrid Data Bank,880
Zbirka ADP,877
CSIC - Estación Experimental de Aula Dei (EEAD),877
Stanford Digital Repository,875
NIRD RDA,871
University of Nottingham,869
Leiden University,868
มหาวิทยาลัยธุรกิจบัณฑิตย์,849
DOE Joint Genome Institute,848
DANS Data Station Physical and Technical Sciences,841
NERC EDS Environmental Information Data Centre,840
"Atmosphere to Electrons (A2e) Data Archive and Portal, Pacific Northwest National Laboratory; PNNL",840
"มหาวิทยาลัยราชภัฏพระนคร,",826
F1000Research,826
eCrystals,823
Ifremer,817
Oregon State University,815
Radboud University,814
DataSuds-geo,810
South African Environmental Observation Network,808
Cell Image Library,806
Papyrus,802
Fachinformationsdienst für internationale und interdisziplinäre Rechtsforschung,787
Repositório de Dados da Universidade do Minho,785
NERC EDS Centre for Environmental Data Analysis,777
World Agroforestry (ICRAF),777
NASA Global Hydrometeorology Resource Center Distributed Active Archive Center,773
EUROCHAMP Data Centre,773
University of Illinois at Urbana-Champaign,772
Databrary,770
Göttingen Research Online,768
PhysioNet,767
Norwegian Polar Institute,765
Robert Koch-Institut,764
Home,759
Utrecht University,755
NCI Australia,755
Κατάλογος Δεδομένων SoDaNet,755
UNB,755
ASU Library Research Data Repository,754
University of Bath,752
PsychArchives,747
f1000research.com,743
Brown University,742
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,742
中国科学院化学化工科学数据中心,740
ICARUS Community,732
University of Leicester,727
